t_s,iter,n_active,n_vars,n_rows,status,objective,wall_s
9450,0,28,4705,19305,optimal,8.135773991520947,0.07999549998203292
9600,0,27,4537,19297,optimal,7.452531715039389,0.08120799995958805
9750,0,27,4537,19762,optimal,6.962343162825382,0.08929645799798891
9900,0,27,4537,20150,optimal,6.564570314660546,0.0791166250128299
10050,0,27,4537,20485,optimal,6.1914962080606495,0.08405779197346419
10200,0,27,4537,20680,optimal,5.9201726530108125,0.07845791702857241
10350,0,27,4537,20779,optimal,5.700956306168457,0.08170208398951218
10500,0,25,4201,19310,optimal,5.535287509753653,0.07651162502588704
10650,0,24,4033,18820,optimal,5.439197798213748,0.0660661660367623
10800,0,31,7833,21735,optimal,9.480565858248909,0.742686917015817
10950,0,31,5209,21578,optimal,9.126891241572574,0.09418291598558426
11100,0,31,5209,21796,optimal,8.575979343636469,0.08960516698425636
11250,0,31,5209,21926,optimal,7.9484258222916715,0.0986405829899013
11400,0,31,5209,21984,optimal,7.4931543327912875,0.09057387500070035
11550,0,30,5041,21174,optimal,7.020541963508226,0.08878916699904948
11700,0,30,5041,21154,optimal,6.589781440747582,0.09395712497644126
11850,0,28,4705,19984,optimal,6.278777176736281,0.07716541696572676
12000,0,28,4705,20042,optimal,6.02531001994164,0.07846549997339025
12150,0,28,4705,20171,optimal,5.792827586762614,0.08430337498430163
12300,0,27,4537,19572,optimal,5.578282745445621,0.07684275001520291
12450,0,26,4369,18864,optimal,5.402520290549859,0.07269712496781722
12600,0,34,8337,22576,optimal,9.851976370013242,0.9749440409941599
12750,0,33,5545,21749,optimal,9.28988503467507,0.1075109169469215
12900,0,32,5377,21222,optimal,8.5122501664197,0.11766962497495115
13050,0,32,5377,21432,optimal,7.861862828948884,0.1632180000306107
13200,0,32,5377,21652,optimal,7.374662906463622,0.1299758329987526
13350,0,31,5209,21265,optimal,6.807084191037298,0.11573316704016179
13500,0,31,5209,21439,optimal,6.35563537944696,0.1421344589907676
13650,0,31,5209,21659,optimal,5.998981232628199,0.11401195800863206
13800,0,31,5209,21861,optimal,5.731003897051105,0.10757037496659905
13950,0,31,5209,21991,optimal,5.529242361825146,0.1578734159702435
14100,0,30,5041,21406,optimal,5.377695980320909,0.10203183302655816
14250,0,28,4705,20361,optimal,5.283683891768182,0.09515541698783636
14400,0,28,4705,20447,optimal,5.189538949492878,0.12382125004660338
14550,0,27,4537,19805,optimal,5.113414441118943,0.09092879202216864
14700,0,25,4201,18124,optimal,5.052987305119124,0.09347645798698068
14850,0,25,4201,18109,optimal,5.015253061965755,0.08780612499685958
15000,0,25,4201,18097,optimal,4.992367847062123,0.08435633301269263
15150,0,25,4201,18074,optimal,4.969311602458015,0.09344154200516641
15300,0,25,4201,18115,optimal,4.948350104977263,0.08851329202298075
15450,0,25,4201,18143,optimal,4.937901138166755,0.083392417000141
15600,0,24,4033,17317,optimal,4.9323587683181,0.08900454198010266
15750,0,24,4033,17367,optimal,4.9323587683181,0.0810157919768244
15900,0,24,4033,17408,optimal,4.9323587683181,0.0737460830132477
16050,0,24,4033,17432,optimal,4.9323587683181,0.07316254096804187
16200,0,24,4033,17452,optimal,4.9323587683181,0.0734854590264149
16350,0,24,3841,16322,optimal,4.9323587683181,0.0673166670021601
16500,0,24,3505,14868,optimal,4.9323587683181,0.05613495799480006
16650,0,24,3169,13436,optimal,4.9323587683181,0.05153662496013567
16800,0,24,2833,12025,optimal,4.9323587683181,0.05230037501314655
16950,0,24,2497,10616,optimal,4.9323587683181,0.03693583299173042
17100,0,24,2161,9196,optimal,4.9323587683181,0.03615883400198072
17250,0,24,1825,7750,optimal,4.9323587683181,0.029806750011630356
17400,0,24,1489,6261,optimal,4.9323587683181,0.024060791998635978
17550,0,24,1153,4778,optimal,4.9323587683181,0.017766290984582156
17700,0,24,817,3317,optimal,4.9323587683181,0.012060375011060387
17850,0,24,481,1898,optimal,4.9323587683181,0.007088624988682568
18000,0,24,145,459,optimal,4.9323587683181,0.0022817919962108135
