t_s,iter,n_active,n_vars,n_rows,status,objective,wall_s
3000,0,11,1849,9816,optimal,6.267633965916133,0.03342191700357944
3000,1,11,1849,9836,optimal,6.611079604007214,0.03517666697734967
3000,2,11,1849,10164,optimal,6.750757428894831,0.03334100003121421
3150,0,10,1681,9114,optimal,6.151384472334351,0.033530083019286394
3150,1,10,1681,9397,optimal,6.433811080864335,0.030420917028095573
3150,2,10,1681,9628,optimal,6.499290537310835,0.03058658301597461
3300,0,10,1681,9270,optimal,6.052826378138,0.030430083977989852
3300,1,10,1681,9499,optimal,6.221030522142147,0.03259254200384021
3300,2,10,1681,9720,optimal,6.264685872322226,0.030635832983534783
3450,0,10,1681,9399,optimal,5.979775647190298,0.030267624999396503
3450,1,10,1681,9575,optimal,6.03549694946469,0.030729166988749057
3450,2,10,1681,9763,optimal,6.057284422050108,0.03259883401915431
3600,0,18,5649,13476,optimal,10.168206050153378,1.2387410419760272
3600,1,18,5649,13684,optimal,10.122415146045055,1.6262349170283414
3600,2,18,5649,14105,optimal,10.187933736239257,0.9494025830063038
3750,0,18,3025,13497,optimal,9.839611885744247,0.054754249984398484
3750,1,18,3025,13710,optimal,9.775426432692905,0.05849633296020329
3750,2,18,3025,14044,optimal,9.850457803940289,0.05774020904209465
3900,0,18,3025,13811,optimal,9.412179639827732,0.057724791986402124
3900,1,18,3025,14045,optimal,9.360642119842895,0.054031999956350774
3900,2,18,3025,14309,optimal,9.426895788697463,0.05700887501006946
4050,0,18,3025,14021,optimal,8.917132448402707,0.05296508298488334
4050,1,18,3025,14319,optimal,8.855215880457324,0.054277166025713086
4050,2,18,3025,14639,optimal,8.929978500991377,0.06031491595786065
4200,0,18,3025,14239,optimal,8.254490420896577,0.054617083980701864
4200,1,18,3025,14640,optimal,8.22681290164038,0.053735500026959926
4200,2,18,3025,14820,optimal,8.25646630082804,0.0563280830392614
4350,0,18,3025,14347,optimal,7.734065192445356,0.052395040984265506
4350,1,18,3025,14828,optimal,7.729542499999774,0.052852332999464124
4350,2,18,3025,14945,optimal,7.727954402009556,0.05941637500654906
4500,0,18,3025,14343,optimal,7.2997949902369585,0.05214729096041992
4500,1,18,3025,14836,optimal,7.297864659862934,0.05292020895285532
4500,2,18,3025,14906,optimal,7.29302045972939,0.058012207970023155
4650,0,18,3025,14287,optimal,6.952540840633743,0.052238125004805624
