t_s,level,iter,n_active,n_vars,n_rows,status,objective,wall_s
3000,depth,0,11,1849,9816,optimal,6.382624521924688,0.03401583299273625
3000,route,,11,1118,9878,optimal,7435740412.099351,0.02001366700278595
3000,depth,1,11,1849,10241,optimal,6.392385590344889,0.035118833009619266
3150,depth,0,10,1681,9114,optimal,6.14587907756756,0.03066641604527831
3150,route,,10,1113,10197,optimal,7400210689.199317,0.022707832977175713
3150,depth,1,10,1681,9387,optimal,6.152743423489637,0.03739662503357977
3300,depth,0,10,1681,9270,optimal,5.938086010489193,0.03106983401812613
3300,route,,10,1110,10474,optimal,7693263429.681334,0.028965167002752423
3300,depth,1,10,1681,9518,optimal,5.94206230214665,0.03464695799630135
3450,depth,0,10,1681,9399,optimal,5.754460837789799,0.03437341598328203
3450,route,,10,1092,10738,optimal,8070844079.482354,0.020823917002417147
3450,depth,1,10,1681,9666,optimal,5.7557009571131985,0.03322812501573935
3600,depth,0,18,5649,13476,optimal,10.174928313803994,1.1097924999776296
3600,route,,18,1887,13301,optimal,193183328157.41727,0.029449124995153397
3600,depth,1,18,5649,14711,optimal,10.211497694246887,1.1303568329894915
3750,depth,0,18,3025,13497,optimal,9.726140116521101,0.06561229203362018
3750,route,,18,1872,13732,optimal,194187562204.55222,0.038453708053566515
3750,depth,1,18,3025,15003,optimal,9.759191406471784,0.058952042018063366
3900,depth,0,18,3025,13811,optimal,9.161361580240023,0.05618983303429559
3900,route,,18,1828,13886,optimal,194975531188.42108,0.030153084022458643
3900,depth,1,18,3025,15589,optimal,9.194455226092138,0.06603337498381734
4050,depth,0,18,3025,14021,optimal,8.49134887916296,0.054841917008161545
4050,route,,18,1812,14314,optimal,153604747487.0678,0.030189833021722734
4050,depth,1,18,3025,16201,optimal,8.515793430548431,0.06802216597134247
4200,depth,0,18,3025,14239,optimal,7.921691627522071,0.07672375004040077
4200,route,,18,1783,14386,optimal,83726688230.22755,0.03597912495024502
4200,depth,1,18,3025,16696,optimal,7.936779996655038,0.06185954203829169
4350,depth,0,18,3025,14347,optimal,7.4436146089017035,0.053095584036782384
4350,route,,18,1721,13953,optimal,33867181220.351593,0.03056879196083173
4350,depth,1,18,3025,16598,optimal,7.447321719965765,0.06875579198822379
4500,depth,0,18,3025,14343,optimal,6.990149710458794,0.05521529196994379
4500,route,,18,1632,13309,optimal,31488129063.601604,0.02805141598219052
4500,depth,1,18,3025,16532,optimal,6.99219215650333,0.061206749989651144
4650,depth,0,17,2857,13473,optimal,6.6692492454160766,0.054537917021662
4650,route,,17,1564,12854,optimal,34436125324.745804,0.02731141704134643
4650,depth,1,17,2857,15515,optimal,6.6705689006784485,0.05527999997138977
4800,depth,0,17,2857,13425,optimal,6.347265133122867,0.05090254097012803
4800,route,,17,1513,12595,optimal,36403632399.253784,0.02795566600980237
4800,depth,1,17,2857,15177,optimal,6.348027165507869,0.05357037502108142
4950,depth,0,17,2857,13410,optimal,6.095320282003292,0.048873124993406236
4950,route,,17,1454,12427,optimal,26532111070.08927,0.02491729101166129
4950,depth,1,17,2857,14862,optimal,6.09576394914228,0.05233758297981694
5100,depth,0,17,2857,13378,optimal,5.865558631846397,0.05475262500112876
5100,route,,17,1400,12298,optimal,13529239858.748192,0.024541541992221028
5100,depth,1,17,2857,14706,optimal,5.86579128558902,0.05656454199925065
5250,depth,0,16,2689,12490,optimal,5.657061894002525,0.04548324999632314
5250,route,,16,1321,11897,optimal,10973061515.63722,0.02291387500008568
5250,depth,1,16,2689,13784,optimal,5.657250783001411,0.04648804198950529
5400,depth,0,23,6489,15541,optimal,10.363726188242346,2.1352403340279125
5400,route,,23,2115,14467,optimal,33983957225.7018,0.03627395798685029
5400,depth,1,23,6489,17112,optimal,10.371390182043392,2.0742857080185786
5550,depth,0,23,3865,15328,optimal,9.788465907357223,0.06588179204845801
5550,route,,23,2084,14575,optimal,14650856965.604502,0.030376416048966348
5550,depth,1,23,3865,16766,optimal,9.790155880824324,0.07439912500558421
5700,depth,0,23,3865,15431,optimal,9.099378857193916,0.06554083299124613
5700,route,,23,2029,14538,optimal,14346048257.23593,0.03045616700546816
5700,depth,1,23,3865,16805,optimal,9.101616627069188,0.06819424999412149
5850,depth,0,23,3865,15529,optimal,8.378772250787542,0.07229541701963171
5850,route,,23,1984,14335,optimal,22668914415.519115,0.030494417005684227
5850,depth,1,23,3865,16871,optimal,8.381132502553827,0.0669520830269903
6000,depth,0,23,3865,15567,optimal,7.726391879576899,0.07123791699996218
6000,route,,23,1961,14108,optimal,22186285904.392017,0.03125870804069564
6000,depth,1,23,3865,16943,optimal,7.727556269038251,0.07058645901270211
6150,depth,0,22,3697,15170,optimal,7.263424049824062,0.08061587502015755
6150,route,,22,1941,13945,optimal,22384189961.776756,0.029348708980251104
6150,depth,1,22,3697,16734,optimal,7.264209347623959,0.07363825000356883
6300,depth,0,22,3697,15237,optimal,6.867690907238854,0.0629892079741694
6300,route,,22,1928,13902,optimal,64640374671.3493,0.03653816704172641
6300,depth,1,22,3697,17096,optimal,6.868186317612775,0.06880533398361877
6450,depth,0,22,3697,15347,optimal,6.483473359672822,0.06397245801053941
6450,route,,22,1908,13809,optimal,42350807220.46628,0.03037533297901973
6450,depth,1,22,3697,17400,optimal,6.484009548849143,0.0727227910538204
6600,depth,0,21,3529,14420,optimal,6.168143612343813,0.05699354101670906
6600,route,,21,1885,13759,optimal,61148692703.68103,0.02984454098623246
6600,depth,1,21,3529,16490,optimal,6.1685382264206,0.06227154203224927
6750,depth,0,21,3529,14450,optimal,5.923273037357182,0.06297091697342694
6750,route,,21,1855,13634,optimal,29122718060.468918,0.03522949997568503
6750,depth,1,21,3529,16534,optimal,5.923558594399067,0.059711875044740736
6900,depth,0,21,3529,14517,optimal,5.714826844015429,0.05622391699580476
6900,route,,21,1790,13165,optimal,22667017820.651337,0.028629667009226978
