t_s,level,n_active,n_vars,n_rows,status,objective,wall_s
9600,lo,17,1177,4399,optimal,6.354086550297995,0.026784875022713095
9750,lo,17,1177,4502,optimal,5.5286859781818,0.026397000008728355
9900,lo,17,1177,4580,optimal,3.970705370825895,0.0278945830068551
10050,lo,17,1177,4628,optimal,3.2664767761127482,0.02458762499736622
10200,lo,14,1009,3918,optimal,5.0495561067787476,0.05262316600419581
10350,lo,14,897,3944,optimal,4.319778004670057,0.023649583978112787
10500,lo,14,897,3975,optimal,2.704937043096657,0.027766707993578166
10650,lo,14,897,4014,optimal,2.52073761412887,0.024212791002355516
10800,lo,20,2129,4367,optimal,12.766324347714242,0.29753695795079693
10950,lo,20,1569,4479,optimal,8.780211892199898,0.03032095800153911
11100,lo,20,1569,4713,optimal,6.3646614685055285,0.028137875022366643
11250,lo,20,1569,4970,optimal,5.785022014963952,0.028407458041328937
11400,lo,18,1457,4948,optimal,9.27420941392937,0.1644717919989489
11550,lo,18,1121,5104,optimal,6.186522304124083,0.025433333998080343
11700,lo,18,1121,5280,optimal,4.283085604366672,0.026250042021274567
11850,lo,17,1065,5063,optimal,2.9734509796124433,0.025317707972135395
12000,lo,14,897,4077,optimal,12.450239330935789,0.04330795904388651
12150,lo,14,785,4127,optimal,11.57269778298266,0.018627375015057623
12300,lo,13,729,3809,optimal,10.864796592074496,0.01879850000841543
12450,lo,13,729,3803,optimal,8.564957277900698,0.015124458004720509
12600,lo,20,2017,4579,optimal,10.049373901749076,0.35128870903281495
12750,lo,20,1457,4539,optimal,7.750062127837062,0.03162883303593844
12900,lo,20,1457,4599,optimal,7.004914378728731,0.03382737503852695
13050,lo,20,1457,4690,optimal,6.22594867206818,0.027674500015564263
13200,lo,19,1401,4819,optimal,6.717795827596495,0.0341888329712674
13350,lo,19,1289,4954,optimal,6.0879225959508405,0.027378291997592896
13500,lo,18,1233,4803,optimal,4.964445872399889,0.025220584007911384
13650,lo,18,1233,4971,optimal,3.94401209574226,0.02463587501551956
13800,lo,17,1177,4767,optimal,13.507869212107325,0.07253612496424466
13950,lo,17,953,4810,optimal,11.696317143106528,0.021740375028457493
14100,lo,17,953,4805,optimal,9.45635980982287,0.016746625013183802
14250,lo,17,953,4803,optimal,8.305446433823334,0.017931416048668325
14400,lo,14,785,3933,optimal,7.691453762417947,0.015418416995089501
14550,lo,14,785,4031,optimal,6.25264784658518,0.015096583985723555
14700,lo,14,785,4100,optimal,5.251433443860141,0.015526499948464334
14850,lo,13,729,3804,optimal,4.317382536768842,0.014095042017288506
15000,lo,12,673,3586,optimal,6.892690952425316,0.013081374985631555
15150,lo,12,673,3556,optimal,5.8351103409742615,0.012860540999099612
15300,lo,11,617,3111,optimal,5.239499114660004,0.011295625008642673
15450,lo,11,617,3099,optimal,5.01511495969589,0.011691874999087304
15600,lo,10,561,2722,optimal,5.319568838390017,0.010244749952107668
15750,lo,9,505,2465,optimal,4.70341331530317,0.009436250024009496
15900,lo,9,505,2504,optimal,4.6584037863065495,0.009033542010001838
16050,lo,9,505,2548,optimal,4.6584037863065495,0.009136708977166563
16200,lo,7,393,2086,optimal,4.6584037863065495,0.01038674998562783
16350,lo,7,393,2050,optimal,4.6584037863065495,0.006717959011439234
16500,lo,7,393,2021,optimal,4.6584037863065495,0.006697417004033923
16650,lo,7,393,1995,optimal,4.6584037863065495,0.007126834010705352
16800,lo,5,281,1570,optimal,4.977152974743454,0.005735917016863823
16950,lo,5,281,1641,optimal,4.977152974743454,0.006142999976873398
17100,lo,5,281,1687,optimal,4.977152974743454,0.006246833014301956
17250,lo,5,281,1704,optimal,4.977152974743454,0.005797583027742803
17400,lo,4,225,1508,optimal,4.977152974743454,0.004710917011834681
17550,lo,4,193,1194,optimal,4.977152974743454,0.004013416008092463
17700,lo,4,137,819,optimal,4.977152974743454,0.0028756250394508243
17850,lo,4,81,454,optimal,4.977152974743454,0.0018403750145807862
18000,lo,4,25,100,optimal,4.977152974743454,0.0007846249500289559
