t_s,ground_station,serving_sat,serving_el_deg,src_sat,path,hops,prop_delay_ms,reachable
800,Sao-Paulo,,,0,UNREACHABLE,,,False
810,Tokyo,,,0,UNREACHABLE,,,False
810,Sao-Paulo,,,0,UNREACHABLE,,,False
820,Tokyo,,,0,UNREACHABLE,,,False
820,Sao-Paulo,,,0,UNREACHABLE,,,False
830,Tokyo,,,0,UNREACHABLE,,,False
830,Sao-Paulo,,,0,UNREACHABLE,,,False
840,Tokyo,,,0,UNREACHABLE,,,False
840,Sao-Paulo,,,0,UNREACHABLE,,,False
850,Tokyo,,,0,UNREACHABLE,,,False
850,Sao-Paulo,,,0,UNREACHABLE,,,False
860,Tokyo,,,0,UNREACHABLE,,,False
860,Sao-Paulo,,,0,UNREACHABLE,,,False
870,Tokyo,,,0,UNREACHABLE,,,False
870,Sao-Paulo,,,0,UNREACHABLE,,,False
880,Tokyo,,,0,UNREACHABLE,,,False
880,Sao-Paulo,,,0,UNREACHABLE,,,False
890,Tokyo,,,0,UNREACHABLE,,,False
890,Sao-Paulo,,,0,UNREACHABLE,,,False
900,Tokyo,,,0,UNREACHABLE,,,False
900,Sao-Paulo,,,0,UNREACHABLE,,,False
910,Tokyo,,,0,UNREACHABLE,,,False
910,Sao-Paulo,,,0,UNREACHABLE,,,False
920,Tokyo,,,0,UNREACHABLE,,,False
920,Sao-Paulo,,,0,UNREACHABLE,,,False
930,Tokyo,,,0,UNREACHABLE,,,False
930,Sao-Paulo,,,0,UNREACHABLE,,,False
940,Tokyo,,,0,UNREACHABLE,,,False
940,Sao-Paulo,,,0,UNREACHABLE,,,False
950,Tokyo,,,0,UNREACHABLE,,,False
950,Sao-Paulo,,,0,UNREACHABLE,,,False
960,Tokyo,,,0,UNREACHABLE,,,False
960,Sao-Paulo,,,0,UNREACHABLE,,,False
970,Tokyo,,,0,UNREACHABLE,,,False
970,Sao-Paulo,,,0,UNREACHABLE,,,False
980,Tokyo,,,0,UNREACHABLE,,,False
980,Sao-Paulo,,,0,UNREACHABLE,,,False
990,Tokyo,,,0,UNREACHABLE,,,False
990,Sao-Paulo,,,0,UNREACHABLE,,,False
1000,Tokyo,,,0,UNREACHABLE,,,False
1000,Sao-Paulo,,,0,UNREACHABLE,,,False
1010,Tokyo,,,0,UNREACHABLE,,,False
1010,Sao-Paulo,,,0,UNREACHABLE,,,False
1020,Tokyo,,,0,UNREACHABLE,,,False
1020,Sao-Paulo,,,0,UNREACHABLE,,,False
1030,Tokyo,,,0,UNREACHABLE,,,False
1030,Sao-Paulo,,,0,UNREACHABLE,,,False
1040,Tokyo,,,0,UNREACHABLE,,,False
1040,Sao-Paulo,,,0,UNREACHABLE,,,False
1050,Tokyo,,,0,UNREACHABLE,,,False
1050,Sao-Paulo,,,0,UNREACHABLE,,,False
1060,Tokyo,,,0,UNREACHABLE,,,False
1060,Sao-Paulo,,,0,UNREACHABLE,,,False
1070,Tokyo,,,0,UNREACHABLE,,,False
1070,Sao-Paulo,,,0,UNREACHABLE,,,False
1080,Tokyo,,,0,UNREACHABLE,,,False
1080,Sao-Paulo,,,0,UNREACHABLE,,,False
1090,Tokyo,,,0,UNREACHABLE,,,False
1090,Sao-Paulo,,,0,UNREACHABLE,,,False
1100,Tokyo,,,0,UNREACHABLE,,,False
1100,Sao-Paulo,,,0,UNREACHABLE,,,False
1110,Tokyo,,,0,UNREACHABLE,,,False
1110,Sao-Paulo,,,0,UNREACHABLE,,,False
1120,Tokyo,,,0,UNREACHABLE,,,False
1120,Sao-Paulo,,,0,UNREACHABLE,,,False
1130,Tokyo,,,0,UNREACHABLE,,,False
1130,Sao-Paulo,2,10.15,0,0→2→7,2,46.007,True
1140,Tokyo,,,0,UNREACHABLE,,,False
1140,Sao-Paulo,2,10.41,0,0→2→7,2,45.948,True
1150,Tokyo,,,0,UNREACHABLE,,,False
1150,Sao-Paulo,2,10.64,0,0→2→7,2,45.898,True
1160,Tokyo,,,0,UNREACHABLE,,,False
