t_s,delivered_images,utility,backlog_bits,n_active
8100,7339410.1,34.1263,2747201998,9
8130,7361290.2,34.2416,2685587736,9
8160,7383029.2,34.3567,2624370538,9
8190,7402478.2,34.4709,2569602305,8
8220,7421927.1,34.5851,2514834071,8
8250,7441376.1,34.6993,2460065838,8
8280,7460825.0,34.8134,2405297605,8
8310,7480274.0,34.9276,2350529371,8
8340,7499722.9,35.0418,2295761138,8
8370,7519171.9,35.156,2240992905,8
8400,7538620.8,35.2701,2186224671,8
8430,7558069.8,35.3843,2131456438,8
8460,7577518.7,35.4985,2076688204,8
8490,7596967.6,35.6127,2021919971,8
8520,7616416.6,35.7268,1967151738,8
8550,7635865.5,35.841,1912383504,8
8580,7655314.5,35.9552,1857615271,8
8610,7674763.4,36.0694,1802847037,8
8640,7694212.4,36.1835,1748078804,8
8670,7713661.3,36.2977,1693310571,8
8700,7733110.3,36.4119,1638542337,8
8730,7752559.2,36.5261,1583774104,8
8760,7770218.6,36.6271,1534045219,8
8790,7784805.3,36.7057,1492969044,6
8820,7799392.0,36.7842,1451892869,6
8850,7813978.8,36.8628,1410816694,6
8880,7828565.5,36.9414,1369740519,6
8910,7843152.2,37.0199,1328664344,6
8940,7857738.9,37.0985,1287588169,6
8970,7872325.6,37.177,1246511994,6
9000,7905974.0,37.3821,4858303909,14
9030,7937578.6,37.5678,4769305529,13
9060,7969183.1,37.7526,4680307150,13
9090,8000787.6,37.9364,4591308771,13
9120,8032392.2,38.1193,4502310392,13
9150,8063996.7,38.3014,4413312012,13
9180,8095601.3,38.4828,4324313633,13
9210,8127205.8,38.6635,4235315254,13
9240,8158810.3,38.8436,4146316875,13
9270,8190414.9,39.0231,4057318495,13
9300,8222019.4,39.2022,3968320116,13
9330,8253624.0,39.3808,3879321737,13
9360,8285228.5,39.5589,3790323358,13
9390,8316833.0,39.7368,3701324978,13
9420,8348437.6,39.9143,3612326599,13
9450,8380042.1,40.0914,3523328220,13
9480,8411646.6,40.2677,3434329841,13
9510,8443251.2,40.4421,3345331461,13
9540,8474855.7,40.6149,3256333082,13
