t_s,iter,n_active,n_vars,n_rows,status,objective,wall_s
8700,0,19,2280,13777,optimal,2.8680707986282634,0.05154483299702406
8850,0,18,2160,13523,optimal,2.154532016182153,0.05035645799944177
9000,0,25,4472,16490,optimal,9.136834702729123,1.5996186670381576
9150,0,24,2880,16027,optimal,8.739979781825735,0.06807870796183124
9300,0,24,2880,16334,optimal,8.238935525575283,0.06570787500822917
9450,0,24,2880,16727,optimal,7.673421133828436,0.08279129199218005
9600,0,23,2760,16629,optimal,7.076248177139754,0.07168108399491757
9750,0,23,2760,17033,optimal,6.3945245327708085,0.06914512498769909
9900,0,23,2760,17378,optimal,5.714515233400607,0.06801645801169798
10050,0,23,2760,17674,optimal,5.040981638163412,0.06611333397449926
10200,0,23,2760,17846,optimal,4.350832515119206,0.06362741702469066
10350,0,23,2760,17985,optimal,3.68061783180616,0.06977854197612032
10500,0,19,2280,14798,optimal,2.7575637818562995,0.05539570900145918
10650,0,19,2280,14876,optimal,2.042111786248005,0.059478666982613504
10800,0,26,4592,17701,optimal,7.538706633659053,1.2882972909719683
10950,0,26,3120,17917,optimal,7.205792538352048,0.07610795903019607
11100,0,24,2880,16409,optimal,6.75133192898566,0.08268979197600856
11250,0,24,2880,16708,optimal,6.183334839964159,0.0812371660140343
11400,0,23,2760,16089,optimal,5.441214158733909,0.0672980000381358
11550,0,22,2640,15370,optimal,4.7481431923257915,0.07504475000314415
11700,0,22,2640,15568,optimal,4.213418117176531,0.06304595898836851
11850,0,21,2520,14920,optimal,3.668058093501902,0.05855474999407306
12000,0,21,2520,15124,optimal,3.216278536153389,0.058499708015006036
12150,0,21,2520,15365,optimal,2.7272547660618356,0.06807608396047726
12300,0,21,2520,15589,optimal,2.2085640589616062,0.056225334003102034
12450,0,20,2400,14973,optimal,1.7427774386013337,0.05538745899684727
12600,0,28,4832,18423,optimal,8.380321012700072,1.8178865409572609
12750,0,27,3240,17968,optimal,8.06680206997103,0.08153374999528751
12900,0,26,3120,17476,optimal,7.568116474757938,0.0738642499782145
13050,0,26,3120,17747,optimal,6.968163110529784,0.07866925001144409
13200,0,25,3000,17456,optimal,6.446209111169263,0.0802833330235444
13350,0,25,3000,17679,optimal,5.891491431506819,0.0838733339915052
13500,0,25,3000,17885,optimal,5.239682425789212,0.071976084029302
13650,0,25,3000,18099,optimal,4.577363573447397,0.07513462501810864
13800,0,25,3000,18266,optimal,3.8898412131248814,0.0704299999633804
13950,0,25,3000,18376,optimal,3.176999986008458,0.07179295795504004
14100,0,23,2760,17101,optimal,2.4791777718030326,0.06969308300176635
14250,0,21,2520,16326,optimal,1.7093678508976535,0.05568599997786805
14400,0,20,2400,15401,optimal,1.095951582751242,0.05599362502107397
14550,0,20,2400,15444,optimal,0.7641834227749571,0.05537858296884224
14700,0,18,2160,13762,optimal,0.6029407870254754,0.05715145799331367
14850,0,18,2160,13626,optimal,0.485336205096298,0.04882283299230039
15000,0,18,2160,13523,optimal,0.36764604780245314,0.04767204204108566
15150,0,18,2160,13421,optimal,0.24987031514394026,0.06243795796763152
15300,0,18,2160,13326,optimal,0.13883913068082504,0.06768833298701793
15450,0,18,2160,13266,optimal,0.052626453326392965,0.049986957979854196
15600,0,16,1920,11842,optimal,0.003421786238781656,0.039947957964614034
15750,0,16,1920,11792,optimal,0.0002974573816029135,0.040610625001136214
15900,0,16,1920,11784,optimal,-0.0,0.04231150000123307
16050,0,16,1920,11750,optimal,-0.0,0.042767749982886016
16200,0,16,1920,11669,optimal,-0.0,0.048600625013932586
16350,0,16,1792,10820,optimal,-0.0,0.03616195899667218
16500,0,16,1632,9804,optimal,-0.0,0.03155787498690188
16650,0,16,1472,8844,optimal,-0.0,0.029362042027059942
16800,0,16,1312,7915,optimal,-0.0,0.03101058298489079
16950,0,16,1152,6978,optimal,-0.0,0.021236667002085596
17100,0,16,992,6044,optimal,-0.0,0.01957720797508955
17250,0,16,832,5091,optimal,-0.0,0.01895608298946172
17400,0,16,672,4115,optimal,-0.0,0.013398999988567084
17550,0,16,512,3139,optimal,-0.0,0.020086791017092764
17700,0,16,352,2144,optimal,-0.0,0.007018125033937395
17850,0,16,192,1174,optimal,-0.0,0.004334042023401707
18000,0,16,32,213,optimal,-0.0,0.0011671250103972852
