t_s,delivered_images,utility,backlog_bits,n_active
7860,6929285.1,63.8209,12021347434,14
7890,6958064.7,64.089,11786579200,14
7920,6978907.1,64.342,11551810967,14
7950,6999749.4,64.6291,11317042733,14
7980,7025918.5,64.94,11082274500,14
8010,7046760.8,65.2761,10847506267,14
8040,7072929.9,65.5811,10612738033,14
8070,7105463.3,65.7541,10377969800,14
8100,7152939.2,66.0451,10143201566,14
8130,7179108.3,66.2257,9908433333,14
8160,7202991.8,66.577,9675253360,14
8190,7221403.1,66.8431,9467869244,13
8220,7239814.3,67.142,9260485127,13
8250,7263087.8,67.325,9053101010,13
8280,7290978.8,67.6212,8845716893,13
8310,7323593.5,67.9099,8638332777,13
8340,7342004.7,68.2658,8430948660,12
8370,7360416.0,68.6107,8223564543,12
8400,7386585.0,68.9145,8016180427,12
8430,7412186.0,69.1735,7808796310,12
8460,7451904.1,69.4663,7601412193,12
8490,7470315.3,69.7555,7394028077,12
8520,7488726.5,69.9997,7186643960,12
8550,7511248.9,70.3426,6979259843,12
8580,7536202.4,70.5918,6771875727,11
8610,7554613.6,70.8812,6564491610,9
8640,7580782.7,71.1724,6357107493,9
8670,7599193.9,71.5177,6149723376,9
8700,7617605.1,71.8502,5942339260,8
8730,7647164.6,72.1361,5734955143,8
8760,7682771.6,72.3409,5527571026,8
8790,7706796.1,72.5544,5320186910,8
8820,7725207.3,72.8869,5112802793,7
8850,7748980.8,73.1019,4916972260,7
8880,7769072.0,73.2736,4762742114,6
8910,7784587.7,73.4714,4608511968,6
8940,7800103.3,73.6191,4454281823,6
8970,7816370.0,73.8372,4300051677,6
9000,7838605.8,74.1251,14545762419,14
9030,7873105.9,74.4771,14310994186,14
9060,7896987.2,74.811,14076225953,14
9090,7919045.1,75.109,13841457719,14
9120,7951751.2,75.4579,13606689486,14
9150,7975202.5,75.7474,13371921252,14
9180,8000907.1,76.0225,13137153019,14
9210,8027820.3,76.3832,12902384786,14
9240,8051701.6,76.7243,12667616552,14
9270,8084062.4,77.0497,12432848319,14
9300,8112054.8,77.3881,12198080085,14
9330,8139582.7,77.7065,11963311852,14
9360,8161640.6,77.9895,11728543619,14
9390,8187809.7,78.26,11493775385,14
9420,8210711.9,78.5583,11259007152,14
9450,8234862.3,78.8722,11024238919,14
9480,8256920.2,79.1817,10789470685,14
9510,8283553.7,79.5568,10554702452,14
9540,8305611.6,79.8395,10319934218,14
9570,8331604.2,80.1633,10087153688,14
9600,8367211.1,80.3613,9879769572,13
9630,8386837.9,80.6505,9672385455,13
9660,8407211.2,80.9162,9465001338,13
9690,8425622.4,81.199,9257617222,12
