gs,sat,start_s,end_s,duration_s
Tokyo,158,9780,10110,330
Tokyo,158,15960,16050,90
Tokyo,159,9600,9930,330
Tokyo,159,15750,15870,120
Tokyo,160,9420,9750,330
Tokyo,160,15570,15720,150
Tokyo,161,9240,9570,330
Tokyo,161,15390,15570,180
Tokyo,162,9060,9390,330
Tokyo,162,15180,15390,210
Tokyo,163,8880,9210,330
Tokyo,163,15000,15210,210
Tokyo,164,8700,9000,300
Tokyo,164,14820,15060,240
Tokyo,165,8550,8820,270
Tokyo,165,14640,14880,240
Tokyo,166,8370,8640,270
Tokyo,166,14460,14700,240
Tokyo,167,8190,8460,270
Tokyo,167,14250,14550,300
Tokyo,168,8010,8280,270
Tokyo,168,14070,14370,300
Tokyo,169,7830,8100,270
Tokyo,169,13890,14190,300
Tokyo,170,13590,13920,330
Tokyo,171,13410,13740,330
Tokyo,172,13230,13590,360
Tokyo,173,13050,13410,360
Tokyo,174,12870,13230,360
Tokyo,175,12690,13020,330
Tokyo,176,12510,12840,330
Tokyo,177,12330,12660,330
Tokyo,178,12150,12480,330
Tokyo,179,12000,12300,300
Tokyo,180,11820,12120,300
Tokyo,180,17940,18000,60
Tokyo,181,11640,11940,300
Tokyo,181,17760,17970,210
Tokyo,182,11460,11760,300
Tokyo,182,17580,17790,210
Tokyo,183,11280,11580,300
Tokyo,183,17400,17610,210
Tokyo,184,11100,11400,300
Tokyo,184,17190,17460,270
Tokyo,185,10920,11220,300
Tokyo,185,17010,17280,270
Tokyo,186,10740,11040,300
Tokyo,186,16830,17100,270
Tokyo,187,10560,10860,300
Tokyo,187,16650,16920,270
Tokyo,188,10410,10650,240
Tokyo,188,16470,16770,300
Tokyo,189,10230,10470,240
Tokyo,189,16290,16590,300
Tokyo,190,10050,10290,240
Tokyo,190,16110,16410,300
Tokyo,191,9870,10110,240
Tokyo,191,15930,16230,300
Tokyo,192,9690,9930,240
Tokyo,192,15750,16050,300
Tokyo,193,9510,9750,240
Tokyo,193,15570,15900,330
Tokyo,194,9360,9540,180
Tokyo,194,15390,15720,330
Tokyo,195,9180,9360,180
Tokyo,195,15210,15540,330
Tokyo,196,9000,9180,180
Tokyo,196,15030,15360,330
Tokyo,197,8820,9000,180
Tokyo,197,14850,15180,330
Tokyo,198,8670,8790,120
Tokyo,198,14670,15000,330
Tokyo,199,8490,8610,120
Tokyo,199,14490,14820,330
Tokyo,200,8310,8430,120
Tokyo,200,14310,14640,330
Tokyo,201,8160,8220,60
Tokyo,201,14130,14460,330
Tokyo,202,7980,8010,30
Tokyo,202,13950,14280,330
Tokyo,203,13770,14100,330
Tokyo,204,13500,13770,270
Tokyo,205,13320,13590,270
Tokyo,206,13140,13410,270
