t_s,delivered_images,utility,backlog_bits,n_active
7620,6868962.9,57.4441,8143962722,14
7650,6901496.4,57.7641,7960734196,14
7680,6933876.7,58.0803,7778367988,14
7710,6961781.9,58.3538,7621206312,13
7740,6989453.1,58.6249,7465361904,12
7770,7015222.9,58.8863,7320226547,12
7800,7040463.0,59.176,7178074197,11
7830,7065703.1,59.4767,7035921847,10
7860,7090943.2,59.7769,6893769497,10
7890,7116183.3,60.0766,6751617147,10
7920,7141423.5,60.3705,6609464797,10
7950,7166663.6,60.6134,6467312447,10
7980,7191903.7,60.8559,6325160097,10
8010,7217143.8,61.0891,6183007746,10
8040,7242383.9,61.3099,6040855396,9
8070,7267624.1,61.5304,5898703046,9
8100,7292864.2,61.7506,5756550696,9
8130,7318104.3,61.9707,5614398346,9
8160,7343203.4,62.1904,5473040126,9
8190,7366012.4,62.4085,5344579835,8
8220,7388821.4,62.6265,5216119543,8
8250,7411630.4,62.8446,5087659251,8
8280,7434439.4,63.0626,4959198959,8
8310,7457248.4,63.2807,4830738668,8
8340,7480057.4,63.4987,4702278376,8
8370,7502866.4,63.7168,4573818084,8
8400,7525675.4,63.9348,4445357792,8
8430,7548484.4,64.1529,4316897501,8
8460,7571293.4,64.3709,4188437209,8
8490,7594102.4,64.589,4059976917,8
8520,7616416.6,64.8054,3934303475,8
8550,7635865.5,65.0125,3824767008,8
8580,7655314.5,65.2196,3715230542,8
8610,7674763.4,65.4267,3605694075,8
8640,7694212.4,65.6338,3496157608,8
8670,7713661.3,65.8409,3386621141,8
8700,7733110.3,66.048,3277084674,8
8730,7752559.2,66.2551,3167548208,8
8760,7770218.6,66.4384,3068090438,8
8790,7784805.3,66.5809,2985938088,6
8820,7799392.0,66.7234,2903785738,6
8850,7813978.8,66.8659,2821633387,6
8880,7828565.5,67.0084,2739481037,6
8910,7843152.2,67.1509,2657328687,6
8940,7857738.9,67.2934,2575176337,6
8970,7872325.6,67.4359,2493023987,6
9000,7905974.0,67.808,9716607817,14
9030,7937578.6,68.1447,9538611059,13
9060,7969183.1,68.48,9360614300,13
9090,8000787.6,68.8134,9182617542,13
9120,8032392.2,69.1452,9004620783,13
9150,8063996.7,69.4755,8826624025,13
9180,8095601.3,69.8045,8648627266,13
9210,8127205.8,70.1323,8470630508,13
9240,8158810.3,70.4589,8292633749,13
9270,8190414.9,70.7846,8114636991,13
9300,8222019.4,71.1093,7936640232,13
9330,8253624.0,71.4333,7758643474,13
9360,8285228.5,71.7565,7580646715,13
9390,8316833.0,72.0791,7402649957,13
9420,8348437.6,72.401,7224653198,13
9450,8380042.1,72.7224,7046656440,13
9480,8411646.6,73.0422,6868659681,13
9510,8443251.2,73.3586,6690662923,13
9540,8474855.7,73.6719,6512666164,13
9570,8506283.8,73.9808,6335663258,13
9600,8535457.2,74.2683,6171358557,12
9630,8564630.6,74.5554,6007053857,12
9660,8593142.2,74.8416,5846476528,12
9690,8619884.5,75.1259,5695863886,11
9720,8646626.8,75.4102,5545251244,11
9750,8673369.1,75.6946,5394638602,11
9780,8700111.4,75.9789,5244025961,11
9810,8726853.7,76.2625,5093413319,11
9840,8753596.0,76.5446,4942800677,11
9870,8780338.3,76.8253,4792188035,11
9900,8807080.6,77.1049,4641575393,11
9930,8833822.9,77.3834,4490962751,11
9960,8860565.2,77.6609,4340350110,11
9990,8887307.5,77.9376,4189737468,11
10020,8914049.8,78.2134,4039124826,11
10050,8940792.1,78.4885,3888512184,11
10080,8967534.5,78.7629,3737899542,11
10110,8994276.8,79.0368,3587286901,11
10140,9021019.1,79.3101,3436674259,11
10170,9047761.4,79.5827,3286061617,11
10200,9074503.7,79.8525,3135448975,11
10230,9101246.0,80.1199,2984836333,11
10260,9127988.3,80.3851,2834223692,11
10290,9154730.6,80.6483,2683611050,11
10320,9181472.9,80.9097,2532998408,11
10350,9206349.1,81.1661,2392895544,11
10380,9228229.1,81.4102,2269667018,9
10410,9247673.8,81.6303,2160154987,9
10440,9263679.8,81.7984,2070009022,7
10470,9278266.5,81.946,1987856672,6
10500,9292853.2,82.0937,1905704322,6
10530,9307439.9,82.2413,1823551972,6
10560,9322026.6,82.389,1741399622,6
10590,9336613.3,82.5367,1659247272,6
10620,9351200.0,82.6843,1577094922,6
10650,9365786.8,82.832,1494942571,6
10680,9380373.5,82.9797,1412790221,6
10710,9394960.2,83.1273,1330637871,6
10740,9409027.9,83.2719,1251408420,6
10770,9421183.5,83.4051,1182948128,5
10800,9452788.0,83.7227,10589787465,13
10830,9484392.6,84.0399,10411790707,13
10860,9515997.1,84.3547,10233793948,13
10890,9547601.6,84.6672,10055797190,13
10920,9579206.2,84.9779,9877800431,13
10950,9610810.7,85.2867,9699803673,13
10980,9640320.3,85.5807,9533605544,13
11010,9669493.8,85.8726,9369300843,12
11040,9698667.2,86.1645,9204996143,12
11070,9727162.3,86.4496,9044511527,12
11100,9753904.6,86.7171,8893898886,11
